"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"08/03/2015","GUANIDINE HYDROCHLORIDENDA   #001546","SUPPL-22","GUANIDINE HYDROCHLORIDE","MERCK SHARP DOHME","Manufacturing (CMC)","Approval"
"08/03/2015","LOVENOXNDA   #020164","SUPPL-106","ENOXAPARIN SODIUM","SANOFI AVENTIS US","Manufacturing (CMC)","Approval"
"08/03/2015","LOVENOX (PRESERVATIVE FREE)NDA   #020164","SUPPL-106","ENOXAPARIN SODIUM","SANOFI AVENTIS US","Manufacturing (CMC)","Approval"
"08/03/2015","COPAXONENDA   #020622","SUPPL-94","GLATIRAMER ACETATE","TEVA PHARMS USA","Manufacturing (CMC)","Approval"
"08/03/2015","ASMANEX TWISTHALERNDA   #021067","SUPPL-24","MOMETASONE FUROATE","MERCK SHARP DOHME","Manufacturing (CMC)","Approval"
"08/03/2015","IMODIUM MULTI-SYMPTOM RELIEFNDA   #021140","SUPPL-22","LOPERAMIDE HYDROCHLORIDE; SIMETHICONE","J AND J CONSUMER INC","Manufacturing (CMC)","Approval"
"08/03/2015","ZYRTEC-D 12 HOURNDA   #021150","SUPPL-12","CETIRIZINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE","J AND J CONSUMER INC","Manufacturing (CMC)","Approval"
"08/03/2015","CUBICINNDA   #021572","SUPPL-48","DAPTOMYCIN","CUBIST PHARMS LLC","Labeling","Approval"
"08/03/2015","CUBICIN RFNDA   #021572","SUPPL-48","DAPTOMYCIN","CUBIST PHARMS LLC","Labeling","Approval"
"08/03/2015","IBUPROFENANDA  #072199","SUPPL-39","IBUPROFEN","AMNEAL PHARMS NY","Manufacturing (CMC)","Approval"
"08/03/2015","IBUPROFENANDA  #072199","SUPPL-41","IBUPROFEN","AMNEAL PHARMS NY","Labeling","Approval"
"08/03/2015","ESOMEPRAZOLE MAGNESIUMANDA  #078936","ORIG-1","ESOMEPRAZOLE MAGNESIUM","MYLAN","","Approval"
"08/03/2015","LYMPHOSEEK KITNDA   #202207","SUPPL-4","TECHNETIUM TC-99M TILMANOCEPT","CARDINAL HEALTH 414","Manufacturing (CMC)","Approval"
"08/03/2015","PALIPERIDONEANDA  #202645","ORIG-1","PALIPERIDONE","ACTAVIS LABS FL INC","","Approval"
"08/03/2015","ASMANEX HFANDA   #205641","SUPPL-4","MOMETASONE FUROATE","MERCK SHARP DOHME","Manufacturing (CMC)","Approval"
"08/03/2015","HYDROCODONE BITARTRATE, CHLORPHENIRAMINE MALEATE AND PSEUDOEPHEDRINE HYDROCHLORIDEANDA  #205657","ORIG-1","CHLORPHENIRAMINE MALEATE; HYDROCODONE BITARTRATE; PSEUDOEPHEDRINE HYDROCHLORIDE","MAYNE PHARMA INC","","Approval"
"08/03/2015","IBUPROFEN SODIUMANDA  #206581","ORIG-1","IBUPROFEN SODIUM","PERRIGO R AND D","","Approval"
"08/04/2015","PHENERGANNDA   #010926","SUPPL-31","PROMETHAZINE HYDROCHLORIDE","MYLAN","Manufacturing (CMC)","Approval"
"08/04/2015","PHENERGANNDA   #011689","SUPPL-25","PROMETHAZINE HYDROCHLORIDE","MYLAN","Manufacturing (CMC)","Approval"
