"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"06/01/2015","CYKLOKAPRONNDA   #019281","SUPPL-35","TRANEXAMIC ACID","PHARMACIA AND UPJOHN","Manufacturing (CMC)","Approval"
"06/01/2015","DIFLUCAN IN DEXTROSE 5% IN PLASTIC CONTAINERNDA   #019950","SUPPL-65","FLUCONAZOLE","PFIZER","Manufacturing (CMC)","Approval"
"06/01/2015","DIFLUCAN IN SODIUM CHLORIDE 0.9%NDA   #019950","SUPPL-65","FLUCONAZOLE","PFIZER","Manufacturing (CMC)","Approval"
"06/01/2015","DIFLUCAN IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINERNDA   #019950","SUPPL-65","FLUCONAZOLE","PFIZER","Manufacturing (CMC)","Approval"
"06/01/2015","GLIADELNDA   #020637","SUPPL-28","CARMUSTINE","ARBOR PHARMS LLC","Manufacturing (CMC)","Approval"
"06/01/2015","YASMINNDA   #021098","SUPPL-23","DROSPIRENONE; ETHINYL ESTRADIOL","BAYER HLTHCARE","Labeling","Approval"
"06/01/2015","CRESTORNDA   #021366","SUPPL-32","ROSUVASTATIN CALCIUM","IPR","Labeling","Approval"
"06/01/2015","YAZNDA   #021676","SUPPL-14","DROSPIRENONE; ETHINYL ESTRADIOL","BAYER HLTHCARE","Labeling","Approval"
"06/01/2015","OMEPRAZOLENDA   #022032","SUPPL-28","OMEPRAZOLE","DEXCEL PHARMA","Manufacturing (CMC)","Approval"
"06/01/2015","SOMATULINE DEPOTNDA   #022074","SUPPL-12","LANREOTIDE ACETATE","IPSEN PHARMA","Manufacturing (CMC)","Approval"
"06/01/2015","SOMATULINE DEPOTNDA   #022074","SUPPL-13","LANREOTIDE ACETATE","IPSEN PHARMA","Manufacturing (CMC)","Approval"
"06/01/2015","METAXALONENDA   #022503","ORIG-1","METAXALONE","PRIMUS PHARMS","Type 3 - New Dosage Form","Approval"
"06/01/2015","BEYAZNDA   #022532","SUPPL-6","DROSPIRENONE; ETHINYL ESTRADIOL; LEVOMEFOLATE CALCIUM","BAYER HLTHCARE","Labeling","Approval"
"06/01/2015","SAFYRALNDA   #022574","SUPPL-6","DROSPIRENONE; ETHINYL ESTRADIOL; LEVOMEFOLATE CALCIUM","BAYER HLTHCARE","Labeling","Approval"
"06/01/2015","METHADOSEANDA  #040050","SUPPL-20","METHADONE HYDROCHLORIDE","SPECGX LLC","Labeling","Approval"
"06/01/2015","METHADONE HYDROCHLORIDEANDA  #040517","SUPPL-16","METHADONE HYDROCHLORIDE","SPECGX LLC","Labeling","Approval"
"06/01/2015","AMPICILLIN AND SULBACTAMANDA  #065188","SUPPL-11","AMPICILLIN SODIUM; SULBACTAM SODIUM","HANFORD GC","Labeling","Approval"
"06/01/2015","AMPICILLIN AND SULBACTAMANDA  #065188","SUPPL-12","AMPICILLIN SODIUM; SULBACTAM SODIUM","HANFORD GC","Labeling","Approval"
"06/01/2015","MYCOPHENOLATE MOFETILANDA  #065416","SUPPL-10","MYCOPHENOLATE MOFETIL","ACCORD HLTHCARE","Labeling","Approval"
"06/01/2015","PROPRANOLOL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDEANDA  #070947","SUPPL-29","HYDROCHLOROTHIAZIDE; PROPRANOLOL HYDROCHLORIDE","MYLAN","Labeling","Approval"
"06/01/2015","BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATEANDA  #075618","SUPPL-23","ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE","HIKMA INTL PHARMS","Labeling","Approval"
"06/01/2015","ANAGRELIDE HYDROCHLORIDEANDA  #076683","SUPPL-6","ANAGRELIDE HYDROCHLORIDE","UPSHER SMITH LABS","Labeling","Approval"
