"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"02/03/2014","PEPCIDNDA   #019462","SUPPL-38","FAMOTIDINE","VALEANT PHARMS NORTH","Labeling","Approval"
"02/03/2014","TRUSOPTNDA   #020408","SUPPL-50","DORZOLAMIDE HYDROCHLORIDE","MERCK","Labeling","Approval"
"02/03/2014","ELIGARDNDA   #021379","SUPPL-27","LEUPROLIDE ACETATE","TOLMAR THERAP","Manufacturing (CMC)","Approval"
"02/03/2014","LUNESTANDA   #021476","SUPPL-28","ESZOPICLONE","SUNOVION PHARMS INC","Labeling","Approval"
"02/03/2014","MODAFINILANDA  #077667","ORIG-1","MODAFINIL","APOTEX INC","","Approval"
"02/03/2014","GLYCOPYRROLATEANDA  #091182","ORIG-1","GLYCOPYRROLATE","KENTON","","Approval"
"02/03/2014","SELFEMRAANDA  #200151","ORIG-1","FLUOXETINE HYDROCHLORIDE","TEVA PHARMS USA","","Approval"
"02/03/2014","LAMIVUDINE AND ZIDOVUDINEANDA  #203259","ORIG-1","LAMIVUDINE; ZIDOVUDINE","HETERO LABS LTD V","","Approval"
"02/03/2014","PRIMAQUINE PHOSPHATEANDA  #203924","ORIG-1","PRIMAQUINE PHOSPHATE","ALVOGEN INC","","Approval"
"02/03/2014","EPANED KITNDA   #204308","SUPPL-1","ENALAPRIL MALEATE","SILVERGATE PHARMS","Manufacturing (CMC)","Approval"
"02/04/2014","SANDOSTATINNDA   #019667","SUPPL-59","OCTREOTIDE ACETATE","NOVARTIS","Manufacturing (CMC)","Approval"
"02/04/2014","EXTRANEALNDA   #021321","SUPPL-30","ICODEXTRIN","BAXTER HLTHCARE","Manufacturing (CMC)","Approval"
"02/04/2014","OXYCONTINNDA   #022272","SUPPL-15","OXYCODONE HYDROCHLORIDE","PURDUE PHARMA LP","Manufacturing (CMC)","Approval"
"02/04/2014","GLYBURIDE AND METFORMIN HYDROCHLORIDEANDA  #076345","SUPPL-26","GLYBURIDE; METFORMIN HYDROCHLORIDE","IMPAX LABS INC","Labeling","Approval"
"02/04/2014","SIMPONI ARIABLA   #125433","SUPPL-2","GOLIMUMAB","JANSSEN BIOTECH","","Approval"
"02/04/2014","DOXERCALCIFEROLANDA  #200926","ORIG-1","DOXERCALCIFEROL","SANDOZ INC","","Approval"
"02/04/2014","FLUDEOXYGLUCOSE F18ANDA  #203664","ORIG-1","FLUDEOXYGLUCOSE F-18","LANTHEUS MEDICAL","","Approval"
"02/04/2014","LAMIVUDINE; ZIDOVUDINENDA   #204914","ORIG-1","LAMIVUDINE; ZIDOVUDINE","MYLAN LABS","Type 5 - New Formulation or New Manufacturer","Tentative Approval"
"02/05/2014","PYLERANDA   #050786","SUPPL-11","BISMUTH SUBCITRATE POTASSIUM; METRONIDAZOLE; TETRACYCLINE HYDROCHLORIDE","ALLERGAN","Manufacturing (CMC)","Approval"
"02/05/2014","CEFTRIAXONEANDA  #065169","SUPPL-22","CEFTRIAXONE SODIUM","SANDOZ","Labeling","Approval"
"02/05/2014","CEFPODOXIME PROXETILANDA  #065462","SUPPL-5","CEFPODOXIME PROXETIL","SANDOZ","Labeling","Approval"
"02/05/2014","DIVALPROEX SODIUMANDA  #078979","SUPPL-6","DIVALPROEX SODIUM","DR REDDYS LABS LTD","Labeling","Approval"
"02/05/2014","DIVALPROEX SODIUMANDA  #078979","SUPPL-7","DIVALPROEX SODIUM","DR REDDYS LABS LTD","Labeling","Approval"
"02/05/2014","DIVALPROEX SODIUMANDA  #078979","SUPPL-8","DIVALPROEX SODIUM","DR REDDYS LABS LTD","Labeling","Approval"
"02/05/2014","MORPHINE SULFATEANDA  #201011","ORIG-1","MORPHINE SULFATE","NOSTRUM LABS INC","","Approval"
"02/05/2014","LEVONORGESTREL AND ETHINYL ESTRADIOLANDA  #201108","ORIG-1","ETHINYL ESTRADIOL; LEVONORGESTREL","AMNEAL PHARMS","","Approval"
"02/05/2014","DISULFIRAMANDA  #202652","ORIG-1","DISULFIRAM","HIKMA","","Approval"
"02/05/2014","PHENTERMINE HYDROCHLORIDEANDA  #202846","ORIG-1","PHENTERMINE HYDROCHLORIDE","INVAGEN PHARMS","","Approval"
"02/05/2014","PHENTERMINE HYDROCHLORIDEANDA  #202942","ORIG-1","PHENTERMINE HYDROCHLORIDE","INVAGEN PHARMS","","Approval"
"02/05/2014","ILEVRONDA   #203491","SUPPL-3","NEPAFENAC","NOVARTIS","Manufacturing (CMC)","Approval"
"02/05/2014","FLUDEOXYGLUCOSE F18ANDA  #203935","ORIG-1","FLUDEOXYGLUCOSE F-18","WUSM CYCLOTRON","","Approval"
"02/05/2014","FLUDEOXYGLUCOSE F18ANDA  #203946","ORIG-1","FLUDEOXYGLUCOSE F-18","ESSENTIAL ISOTOPES","","Approval"
"02/06/2014","IMURANNDA   #016324","SUPPL-37","AZATHIOPRINE","SEBELA IRELAND LTD","Labeling","Approval"
"02/06/2014","ANADROL-50NDA   #016848","SUPPL-23","OXYMETHOLONE","MYLAN SPECIALITY LP","Manufacturing (CMC)","Approval"
"02/06/2014","IMURANNDA   #017391","SUPPL-16","AZATHIOPRINE SODIUM","CASPER PHARMA LLC","Labeling","Approval"
"02/06/2014","CISPLATINNDA   #018057","SUPPL-82","CISPLATIN","HQ SPCLT PHARMA","Manufacturing (CMC)","Approval"
"02/06/2014","PLATINOLNDA   #018057","SUPPL-82","CISPLATIN","HQ SPCLT PHARMA","Manufacturing (CMC)","Approval"
"02/06/2014","PLATINOL-AQNDA   #018057","SUPPL-82","CISPLATIN","HQ SPCLT PHARMA","Manufacturing (CMC)","Approval"
"02/06/2014","BUPRENEXNDA   #018401","SUPPL-18","BUPRENORPHINE HYDROCHLORIDE","INDIVIOR INC","Manufacturing (CMC)","Approval"
"02/06/2014","ALOXINDA   #021372","SUPPL-17","PALONOSETRON HYDROCHLORIDE","HELSINN HLTHCARE","Labeling","Approval"
"02/06/2014","PRAMIPEXOLE DIHYDROCHLORIDEANDA  #202206","ORIG-1","PRAMIPEXOLE DIHYDROCHLORIDE","ANCHEN PHARMS","","Approval"
"02/06/2014","ZELBORAFNDA   #202429","SUPPL-5","VEMURAFENIB","HOFFMANN LA ROCHE","Labeling","Approval"
"02/07/2014","RITALINNDA   #010187","SUPPL-76","METHYLPHENIDATE HYDROCHLORIDE","NOVARTIS","Manufacturing (CMC)","Approval"
"02/07/2014","ETHAMOLINNDA   #019357","SUPPL-18","ETHANOLAMINE OLEATE","QOL MEDCL","Manufacturing (CMC)","Approval"
"02/07/2014","AGRYLINNDA   #020333","SUPPL-21","ANAGRELIDE HYDROCHLORIDE","SHIRE LLC","Labeling","Approval"
"02/07/2014","VIBATIVNDA   #022110","SUPPL-7","TELAVANCIN HYDROCHLORIDE","CUMBERLAND PHARMS","Labeling","Approval"
"02/07/2014","OZURDEXNDA   #022315","SUPPL-8","DEXAMETHASONE","ALLERGAN","Labeling","Approval"
"02/07/2014","CEFTRIAXONE AND DEXTROSE IN DUPLEX CONTAINERNDA   #050796","SUPPL-18","CEFTRIAXONE SODIUM","B BRAUN","Manufacturing (CMC)","Approval"
"02/07/2014","LEVORA 0.15/30-28ANDA  #073594","SUPPL-24","ETHINYL ESTRADIOL; LEVONORGESTREL","MAYNE PHARMA","Labeling","Approval"
"02/07/2014","BUPROPION HYDROCHLORIDEANDA  #075491","SUPPL-26","BUPROPION HYDROCHLORIDE","MYLAN","Labeling","Approval"
"02/07/2014","BUPROPION HYDROCHLORIDEANDA  #075491","SUPPL-27","BUPROPION HYDROCHLORIDE","MYLAN","Labeling","Approval"
"02/07/2014","BUSPIRONE HYDROCHLORIDEANDA  #078888","ORIG-1","BUSPIRONE HYDROCHLORIDE","ZYDUS PHARMS","","Approval"
"02/07/2014","BUPROPION HYDROCHLORIDEANDA  #090325","SUPPL-6","BUPROPION HYDROCHLORIDE","MYLAN","Labeling","Approval"
"02/07/2014","BUPROPION HYDROCHLORIDEANDA  #090325","SUPPL-9","BUPROPION HYDROCHLORIDE","MYLAN","Labeling","Approval"
"02/07/2014","VICTRELISNDA   #202258","SUPPL-13","BOCEPREVIR","MERCK SHARP DOHME","Labeling","Approval"
"02/07/2014","ZYTIGANDA   #202379","SUPPL-8","ABIRATERONE ACETATE","JANSSEN BIOTECH","Manufacturing (CMC)","Approval"
"02/07/2014","ZOLEDRONIC ACIDNDA   #203231","SUPPL-1","ZOLEDRONIC ACID","INFORLIFE","Manufacturing (CMC)","Approval"
"02/07/2014","AMMONIA N 13ANDA  #204506","ORIG-1","AMMONIA N-13","WA UNIV SCH MED","","Approval"
"02/09/2014","VIVITROLNDA   #021897","SUPPL-24","NALTREXONE","ALKERMES","Manufacturing (CMC)","Approval"
"02/10/2014","OMNIPAQUE 12NDA   #018956","SUPPL-91","IOHEXOL","GE HEALTHCARE","Manufacturing (CMC)","Approval"
"02/10/2014","OMNIPAQUE 140NDA   #018956","SUPPL-91","IOHEXOL","GE HEALTHCARE","Manufacturing (CMC)","Approval"
"02/10/2014","OMNIPAQUE 180NDA   #018956","SUPPL-91","IOHEXOL","GE HEALTHCARE","Manufacturing (CMC)","Approval"
"02/10/2014","OMNIPAQUE 210NDA   #018956","SUPPL-91","IOHEXOL","GE HEALTHCARE","Manufacturing (CMC)","Approval"
"02/10/2014","OMNIPAQUE 240NDA   #018956","SUPPL-91","IOHEXOL","GE HEALTHCARE","Manufacturing (CMC)","Approval"
"02/10/2014","OMNIPAQUE 300NDA   #018956","SUPPL-91","IOHEXOL","GE HEALTHCARE","Manufacturing (CMC)","Approval"
"02/10/2014","OMNIPAQUE 350NDA   #018956","SUPPL-91","IOHEXOL","GE HEALTHCARE","Manufacturing (CMC)","Approval"
"02/10/2014","OMNIPAQUE 70NDA   #018956","SUPPL-91","IOHEXOL","GE HEALTHCARE","Manufacturing (CMC)","Approval"
"02/10/2014","OMNIPAQUE 9NDA   #018956","SUPPL-91","IOHEXOL","GE HEALTHCARE","Manufacturing (CMC)","Approval"
"02/10/2014","ZAVESCANDA   #021348","SUPPL-10","MIGLUSTAT","ACTELION PHARMS LTD","Labeling","Approval"
"02/10/2014","PROMACTANDA   #022291","SUPPL-10","ELTROMBOPAG OLAMINE","NOVARTIS","Labeling","Approval"
"02/10/2014","SERTRALINE HYDROCHLORIDEANDA  #077864","SUPPL-1","SERTRALINE HYDROCHLORIDE","HIKMA PHARMS","Labeling","Approval"
"02/10/2014","NPLATEBLA   #125268","SUPPL-141","ROMIPLOSTIM","AMGEN","","Approval"
"02/10/2014","RAYOSNDA   #202020","SUPPL-6","PREDNISONE","HORIZON PHARMA USA","Manufacturing (CMC)","Approval"
"02/10/2014","CLOPIDOGREL BISULFATEANDA  #202928","ORIG-1","CLOPIDOGREL BISULFATE","MACLEODS PHARMS LTD","","Approval"
"02/10/2014","KETOROLAC TROMETHAMINEANDA  #203376","ORIG-1","KETOROLAC TROMETHAMINE","AKORN","","Approval"
"02/10/2014","SYNRIBONDA   #203585","SUPPL-1","OMACETAXINE MEPESUCCINATE","TEVA PHARMS INTL","Efficacy","Approval"
"02/11/2014","MONISTAT-DERMNDA   #017494","SUPPL-40","MICONAZOLE NITRATE","INSIGHT PHARMS","Manufacturing (CMC)","Approval"
"02/11/2014","MONISTAT-DERMNDA   #017494","SUPPL-65","MICONAZOLE NITRATE","INSIGHT PHARMS","Manufacturing (CMC)","Approval"
"02/11/2014","MONISTAT 3NDA   #018888","SUPPL-17","MICONAZOLE NITRATE","MEDTECH PRODUCTS","Manufacturing (CMC)","Approval"
"02/11/2014","EDEXNDA   #020649","SUPPL-21","ALPROSTADIL","AUXILIUM PHARMS LLC","Manufacturing (CMC)","Approval"
"02/11/2014","MONISTAT 3 COMBINATION PACKNDA   #020670","SUPPL-24","MICONAZOLE NITRATE","MEDTECH PRODUCTS","Manufacturing (CMC)","Approval"
"02/11/2014","MONISTAT 3NDA   #020827","SUPPL-23","MICONAZOLE NITRATE","MEDTECH PRODUCTS","Manufacturing (CMC)","Approval"
"02/11/2014","MONISTAT DUAL- PAKNDA   #020968","SUPPL-5","MICONAZOLE NITRATE","PERSONAL PRODS","Manufacturing (CMC)","Approval"
"02/11/2014","MONISTAT 3 COMBINATION PACKNDA   #021261","SUPPL-16","MICONAZOLE NITRATE","MEDTECH PRODUCTS","Manufacturing (CMC)","Approval"
"02/11/2014","MONISTAT 3 COMBINATION PACK (PREFILLED)NDA   #021261","SUPPL-16","MICONAZOLE NITRATE","MEDTECH PRODUCTS","Manufacturing (CMC)","Approval"
