"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"03/03/2014","VENLAFAXINE HYDROCHLORIDEANDA  #091272","SUPPL-7","VENLAFAXINE HYDROCHLORIDE","SUN PHARM","Labeling","Approval"
"03/04/2014","AZULFIDINENDA   #007073","SUPPL-128","SULFASALAZINE","PHARMACIA AND UPJOHN","Labeling","Approval"
"03/04/2014","AZULFIDINE EN-TABSNDA   #007073","SUPPL-128","SULFASALAZINE","PHARMACIA AND UPJOHN","Labeling","Approval"
"03/04/2014","HUMULIN NBLA   #018781","SUPPL-139","INSULIN SUSP ISOPHANE RECOMBINANT HUMAN","LILLY","","Approval"
"03/04/2014","HUMULIN 70/30BLA   #019717","SUPPL-118","INSULIN RECOMBINANT HUMAN; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN","LILLY","","Approval"
"03/04/2014","HUMULIN 70/30 PENBLA   #019717","SUPPL-118","INSULIN RECOMBINANT HUMAN; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN","LILLY","","Approval"
"03/04/2014","ADAGENBLA   #019818","SUPPL-52","PEGADEMASE BOVINE","LEADIANT BIOSCI INC","","Approval"
"03/04/2014","HUMALOGBLA   #020563","SUPPL-144","INSULIN LISPRO RECOMBINANT","LILLY","","Approval"
"03/04/2014","HUMALOG KWIKPENBLA   #020563","SUPPL-144","INSULIN LISPRO RECOMBINANT","LILLY","","Approval"
"03/04/2014","HUMALOG PENBLA   #020563","SUPPL-144","INSULIN LISPRO RECOMBINANT","LILLY","","Approval"
"03/04/2014","HUMALOG TEMPO PENBLA   #020563","SUPPL-144","INSULIN LISPRO RECOMBINANT","LILLY","","Approval"
"03/04/2014","CRINONENDA   #020701","SUPPL-27","PROGESTERONE","ALLERGAN","Manufacturing (CMC)","Approval"
"03/04/2014","NOVOLOGBLA   #020986","SUPPL-74","INSULIN ASPART RECOMBINANT","NOVO NORDISK INC","","Approval"
"03/04/2014","NOVOLOG FLEXPENBLA   #020986","SUPPL-74","INSULIN ASPART RECOMBINANT","NOVO NORDISK INC","","Approval"
"03/04/2014","NOVOLOG FLEXTOUCHBLA   #020986","SUPPL-74","INSULIN ASPART RECOMBINANT","NOVO NORDISK INC","","Approval"
"03/04/2014","NOVOLOG INNOLETBLA   #020986","SUPPL-74","INSULIN ASPART RECOMBINANT","NOVO NORDISK INC","","Approval"
"03/04/2014","NOVOLOG PENFILLBLA   #020986","SUPPL-74","INSULIN ASPART RECOMBINANT","NOVO NORDISK INC","","Approval"
"03/04/2014","PROTONIX IVNDA   #020988","SUPPL-47","PANTOPRAZOLE SODIUM","WYETH PHARMS","Manufacturing (CMC)","Approval"
"03/04/2014","HUMALOG MIX 75/25BLA   #021017","SUPPL-97","INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN LISPRO RECOMBINANT","LILLY","","Approval"
"03/04/2014","HUMALOG MIX 75/25 KWIKPENBLA   #021017","SUPPL-97","INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN LISPRO RECOMBINANT","LILLY","","Approval"
"03/04/2014","HUMALOG MIX 75/25 PENBLA   #021017","SUPPL-97","INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN LISPRO RECOMBINANT","LILLY","","Approval"
"03/04/2014","COPEGUSNDA   #021511","SUPPL-27","RIBAVIRIN","ROCHE","Manufacturing (CMC)","Approval"
"03/04/2014","LEVEMIRBLA   #021536","SUPPL-46","INSULIN DETEMIR RECOMBINANT","NOVO NORDISK INC","","Approval"
"03/04/2014","LEVEMIR FLEXPENBLA   #021536","SUPPL-46","INSULIN DETEMIR RECOMBINANT","NOVO NORDISK INC","","Approval"
"03/04/2014","LEVEMIR FLEXTOUCHBLA   #021536","SUPPL-46","INSULIN DETEMIR RECOMBINANT","NOVO NORDISK INC","","Approval"
"03/04/2014","LEVEMIR INNOLETBLA   #021536","SUPPL-46","INSULIN DETEMIR RECOMBINANT","NOVO NORDISK INC","","Approval"
"03/04/2014","LEVEMIR PENFILLBLA   #021536","SUPPL-46","INSULIN DETEMIR RECOMBINANT","NOVO NORDISK INC","","Approval"
"03/04/2014","NEXIUM IVNDA   #021689","SUPPL-14","ESOMEPRAZOLE SODIUM","ASTRAZENECA PHARMS","Efficacy","Approval"
"03/04/2014","DUEXISNDA   #022519","SUPPL-8","FAMOTIDINE; IBUPROFEN","HORIZON","Manufacturing (CMC)","Approval"
"03/04/2014","CLOPIDOGREL BISULFATEANDA  #076274","ORIG-2","CLOPIDOGREL BISULFATE","APOTEX INC","","Approval"
"03/04/2014","MOXIFLOXACIN HYDROCHLORIDEANDA  #076938","ORIG-1","MOXIFLOXACIN HYDROCHLORIDE","DR REDDYS LABS LTD","","Approval"
"03/04/2014","LEVOFLOXACINANDA  #077438","SUPPL-1","LEVOFLOXACIN","SANDOZ","Manufacturing (CMC)","Approval"
