"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"04/01/2014","HUMALOGBLA   #020563","SUPPL-147","INSULIN LISPRO RECOMBINANT","LILLY","","Approval"
"04/01/2014","HUMALOG KWIKPENBLA   #020563","SUPPL-147","INSULIN LISPRO RECOMBINANT","LILLY","","Approval"
"04/01/2014","HUMALOG PENBLA   #020563","SUPPL-147","INSULIN LISPRO RECOMBINANT","LILLY","","Approval"
"04/01/2014","HUMALOG TEMPO PENBLA   #020563","SUPPL-147","INSULIN LISPRO RECOMBINANT","LILLY","","Approval"
"04/01/2014","ZOVIRAXNDA   #021478","SUPPL-7","ACYCLOVIR","BAUSCH","Labeling","Approval"
"04/01/2014","CEFTAZIDIME IN DEXTROSE CONTAINERNDA   #050823","SUPPL-3","CEFTAZIDIME","B BRAUN","Manufacturing (CMC)","Approval"
"04/01/2014","CIPROFLOXACIN HYDROCHLORIDEANDA  #077859","SUPPL-15","CIPROFLOXACIN HYDROCHLORIDE","AUROBINDO PHARMA","Manufacturing (CMC)","Approval"
"04/01/2014","ZOLPIDEM TARTRATEANDA  #078148","SUPPL-7","ZOLPIDEM TARTRATE","ANCHEN PHARMS","Labeling","Approval"
"04/01/2014","FUROSEMIDEANDA  #091258","ORIG-1","FUROSEMIDE","SUN PHARM INDS INC","","Approval"
"04/01/2014","ZYTIGANDA   #202379","SUPPL-10","ABIRATERONE ACETATE","JANSSEN BIOTECH","Manufacturing (CMC)","Approval"
"04/01/2014","BRISDELLENDA   #204516","SUPPL-2","PAROXETINE MESYLATE","SEBELA IRELAND LTD","Manufacturing (CMC)","Approval"
"04/02/2014","HALOGNDA   #017556","SUPPL-41","HALCINONIDE","SUN PHARM INDS INC","Manufacturing (CMC)","Approval"
"04/02/2014","BUDESONIDEANDA  #090379","ORIG-1","BUDESONIDE","BARR LABS DIV TEVA","","Approval"
"04/02/2014","SOLIFENACIN SUCCINATEANDA  #091464","ORIG-1","SOLIFENACIN SUCCINATE","TEVA PHARMS USA","","Approval"
"04/02/2014","INTRON ABLA   #103132","SUPPL-5183","INTERFERON ALFA-2B","SCHERING","","Approval"
"04/02/2014","CLONIDINE HYDROCHLORIDEANDA  #202983","ORIG-1","CLONIDINE HYDROCHLORIDE","ANCHEN PHARMS","","Approval"
"04/03/2014","DILANTIN-125NDA   #008762","SUPPL-51","PHENYTOIN","PARKE DAVIS","Labeling","Approval"
"04/03/2014","DILANTIN-30NDA   #008762","SUPPL-51","PHENYTOIN","PARKE DAVIS","Labeling","Approval"
"04/03/2014","DILANTINNDA   #010151","SUPPL-39","PHENYTOIN SODIUM","PARKE DAVIS","Labeling","Approval"
"04/03/2014","HUMULIN NBLA   #018781","SUPPL-142","INSULIN SUSP ISOPHANE RECOMBINANT HUMAN","LILLY","","Approval"
"04/03/2014","HUMULIN 70/30BLA   #019717","SUPPL-121","INSULIN RECOMBINANT HUMAN; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN","LILLY","","Approval"
"04/03/2014","HUMULIN 70/30 PENBLA   #019717","SUPPL-121","INSULIN RECOMBINANT HUMAN; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN","LILLY","","Approval"
"04/03/2014","OMNISCANNDA   #020123","SUPPL-41","GADODIAMIDE","GE HEALTHCARE","Manufacturing (CMC)","Approval"
"04/03/2014","SABRILNDA   #020427","SUPPL-13","VIGABATRIN","LUNDBECK PHARMS LLC","Labeling","Approval"
"04/03/2014","HUMALOGBLA   #020563","SUPPL-148","INSULIN LISPRO RECOMBINANT","LILLY","","Approval"
