"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"07/01/2013","ORTHO EVRANDA   #021180","SUPPL-44","ETHINYL ESTRADIOL; NORELGESTROMIN","JANSSEN PHARMS","Labeling","Approval"
"07/01/2013","TRACLEERNDA   #021290","SUPPL-25","BOSENTAN","ACTELION PHARMS LTD","REMS","Approval"
"07/01/2013","RIZATRIPTAN BENZOATEANDA  #078739","ORIG-1","RIZATRIPTAN BENZOATE","SANDOZ","","Approval"
"07/01/2013","FINASTERIDEANDA  #090060","ORIG-1","FINASTERIDE","HETERO LABS LTD III","","Approval"
"07/01/2013","FINASTERIDEANDA  #090508","ORIG-1","FINASTERIDE","SUN PHARM","","Approval"
"07/01/2013","RASAGILINE MESYLATEANDA  #201823","ORIG-1","RASAGILINE MESYLATE","WATSON LABS INC","","Approval"
"07/01/2013","RIZATRIPTAN BENZOATEANDA  #201914","ORIG-1","RIZATRIPTAN BENZOATE","GLENMARK PHARMS LTD","","Approval"
"07/01/2013","RIZATRIPTAN BENZOATEANDA  #202477","ORIG-1","RIZATRIPTAN BENZOATE","APOTEX INC","","Approval"
"07/01/2013","RILUZOLEANDA  #203042","ORIG-1","RILUZOLE","MYLAN PHARMS INC","","Approval"
"07/01/2013","RIZATRIPTAN BENZOATEANDA  #203062","ORIG-1","RIZATRIPTAN BENZOATE","AUROBINDO PHARMA LTD","","Approval"
"07/01/2013","RIZATRIPTAN BENZOATEANDA  #203478","ORIG-1","RIZATRIPTAN BENZOATE","NATCO PHARMA LTD","","Approval"
"07/01/2013","RIZATRIPTAN BENZOATEANDA  #204339","ORIG-1","RIZATRIPTAN BENZOATE","INVAGEN PHARMS","","Approval"
"07/02/2013","EFUDEXNDA   #016831","SUPPL-56","FLUOROURACIL","BAUSCH","Manufacturing (CMC)","Approval"
"07/02/2013","NASACORT ALLERGY 24 HOURNDA   #020468","SUPPL-33","TRIAMCINOLONE ACETONIDE","SANOFI AVENTIS US","Efficacy","Approval"
"07/02/2013","NASACORT ALLERGY 24 HOURNDA   #020468","SUPPL-34","TRIAMCINOLONE ACETONIDE","SANOFI AVENTIS US","Efficacy","Approval"
"07/02/2013","SPRIXNDA   #022382","SUPPL-7","KETOROLAC TROMETHAMINE","ZYLA","Manufacturing (CMC)","Approval"
"07/02/2013","ZIANANDA   #050802","SUPPL-14","CLINDAMYCIN PHOSPHATE; TRETINOIN","MEDICIS","Manufacturing (CMC)","Approval"
"07/02/2013","CEFTRIAXONEANDA  #065263","SUPPL-11","CEFTRIAXONE SODIUM","LUPIN","Labeling","Approval"
"07/02/2013","PHENDIMETRAZINE TARTRATEANDA  #089452","SUPPL-15","PHENDIMETRAZINE TARTRATE","MIKART","Labeling","Approval"
"07/02/2013","BUPROPION HYDROCHLORIDEANDA  #090325","SUPPL-8","BUPROPION HYDROCHLORIDE","MYLAN","Manufacturing (CMC)","Approval"
"07/02/2013","MINOCYCLINE HYDROCHLORIDEANDA  #090422","SUPPL-8","MINOCYCLINE HYDROCHLORIDE","SANDOZ","Labeling","Approval"
"07/02/2013","PRAMIPEXOLE DIHYDROCHLORIDEANDA  #091254","SUPPL-4","PRAMIPEXOLE DIHYDROCHLORIDE","HERITAGE PHARMA","Labeling","Approval"
"07/02/2013","PRAMIPEXOLE DIHYDROCHLORIDEANDA  #091254","SUPPL-5","PRAMIPEXOLE DIHYDROCHLORIDE","HERITAGE PHARMA","Labeling","Approval"
"07/02/2013","PRAMIPEXOLE DIHYDROCHLORIDEANDA  #091254","SUPPL-7","PRAMIPEXOLE DIHYDROCHLORIDE","HERITAGE PHARMA","Labeling","Approval"
"07/02/2013","PEGASYSBLA   #103964","SUPPL-5245","PEGINTERFERON ALFA-2A","HOFFMAN-LA ROCHE","","Approval"
"07/02/2013","ACTEMRABLA   #125276","SUPPL-75","TOCILIZUMAB","GENENTECH","","Approval"
"07/03/2013","SUBLIMAZE PRESERVATIVE FREENDA   #016619","SUPPL-34","FENTANYL CITRATE","AKORN","Labeling","Approval"
"07/03/2013","TENEXNDA   #019032","SUPPL-21","GUANFACINE HYDROCHLORIDE","PROMIUS PHARMA","Labeling","Approval"
"07/03/2013","PERIOCHIPNDA   #020774","SUPPL-13","CHLORHEXIDINE GLUCONATE","DEXCEL PHARMA","Manufacturing (CMC)","Approval"
