"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"10/01/2015","ADDERALL 10NDA   #011522","SUPPL-42","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","TEVA WOMENS","Labeling","Approval"
"10/01/2015","ADDERALL 12.5NDA   #011522","SUPPL-42","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","TEVA WOMENS","Labeling","Approval"
"10/01/2015","ADDERALL 15NDA   #011522","SUPPL-42","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","TEVA WOMENS","Labeling","Approval"
"10/01/2015","ADDERALL 20NDA   #011522","SUPPL-42","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","TEVA WOMENS","Labeling","Approval"
"10/01/2015","ADDERALL 30NDA   #011522","SUPPL-42","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","TEVA WOMENS","Labeling","Approval"
"10/01/2015","ADDERALL 5NDA   #011522","SUPPL-42","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","TEVA WOMENS","Labeling","Approval"
"10/01/2015","ADDERALL 7.5NDA   #011522","SUPPL-42","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","TEVA WOMENS","Labeling","Approval"
"10/01/2015","ELOXATINNDA   #021492","SUPPL-14","OXALIPLATIN","SANOFI AVENTIS US","Labeling","Approval"
"10/01/2015","ELOXATINNDA   #021759","SUPPL-19","OXALIPLATIN","SANOFI AVENTIS US","Labeling","Approval"
"10/01/2015","VENLAFAXINE HYDROCHLORIDEANDA  #076565","SUPPL-11","VENLAFAXINE HYDROCHLORIDE","TEVA","Labeling","Approval"
"10/01/2015","AMLODIPINE BESYLATEANDA  #076846","SUPPL-14","AMLODIPINE BESYLATE","TEVA","Labeling","Approval"
"10/01/2015","LEVOCETIRIZINE DIHYDROCHLORIDEANDA  #202046","SUPPL-1","LEVOCETIRIZINE DIHYDROCHLORIDE","MICRO LABS LTD INDIA","Labeling","Approval"
"10/01/2015","LEVOCETIRIZINE DIHYDROCHLORIDEANDA  #202046","SUPPL-2","LEVOCETIRIZINE DIHYDROCHLORIDE","MICRO LABS LTD INDIA","Labeling","Approval"
"10/01/2015","LAMOTRIGINEANDA  #202383","SUPPL-2","LAMOTRIGINE","DR REDDYS LABS LTD","","Tentative Approval"
"10/01/2015","XTANDINDA   #203415","SUPPL-7","ENZALUTAMIDE","ASTELLAS","Labeling","Approval"
"10/01/2015","RYANODEXNDA   #205579","SUPPL-1","DANTROLENE SODIUM","EAGLE PHARMS","Manufacturing (CMC)","Approval"
"10/02/2015","RITALINNDA   #010187","SUPPL-81","METHYLPHENIDATE HYDROCHLORIDE","NOVARTIS","Manufacturing (CMC)","Approval"
"10/02/2015","MACRODANTINNDA   #016620","SUPPL-73","NITROFURANTOIN, MACROCRYSTALLINE","ALVOGEN","Manufacturing (CMC)","Approval"
"10/02/2015","PREGNYLBLA   #017692","SUPPL-27","GONADOTROPIN, CHORIONIC","ORGANON USA INC","","Approval"
"10/02/2015","ATIVANNDA   #018140","SUPPL-39","LORAZEPAM","HIKMA","Manufacturing (CMC)","Approval"
"10/02/2015","COREGNDA   #020297","SUPPL-37","CARVEDILOL","SMITHKLINE BEECHAM","Labeling","Approval"
"10/02/2015","COPAXONENDA   #020622","SUPPL-96","GLATIRAMER ACETATE","TEVA PHARMS USA","Manufacturing (CMC)","Approval"
