"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"09/02/2014","LACTATED RINGER'S IN PLASTIC CONTAINERNDA   #018681","SUPPL-27","CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE","B BRAUN","Manufacturing (CMC)","Approval"
"09/02/2014","SODIUM ACETATENDA   #018893","SUPPL-25","SODIUM ACETATE","HOSPIRA","Manufacturing (CMC)","Approval"
"09/02/2014","DOXYCYCLINE HYCLATEANDA  #062337","SUPPL-24","DOXYCYCLINE HYCLATE","MYLAN","Labeling","Approval"
"09/02/2014","DOXYCYCLINE HYCLATEANDA  #062432","SUPPL-24","DOXYCYCLINE HYCLATE","MYLAN","Labeling","Approval"
"09/02/2014","CLARITHROMYCINANDA  #065137","SUPPL-5","CLARITHROMYCIN","IVAX SUB TEVA PHARMS","Labeling","Approval"
"09/02/2014","FLUOXETINE HYDROCHLORIDEANDA  #075292","SUPPL-18","FLUOXETINE HYDROCHLORIDE","NOSTRUM LABS INC","Labeling","Approval"
"09/02/2014","IBANDRONATE SODIUMANDA  #202235","ORIG-1","IBANDRONATE SODIUM","SAGENT PHARMS INC","","Approval"
"09/02/2014","IBANDRONATE SODIUMANDA  #202671","ORIG-1","IBANDRONATE SODIUM","MYLAN LABS LTD","","Approval"
"09/02/2014","IBANDRONATE SODIUMANDA  #203987","ORIG-1","IBANDRONATE SODIUM","EMCURE PHARMS LTD","","Approval"
"09/03/2014","DEXTROSE 25%NDA   #019445","SUPPL-17","DEXTROSE","HOSPIRA","Manufacturing (CMC)","Approval"
"09/03/2014","DEXTROSE 50%NDA   #019445","SUPPL-17","DEXTROSE","HOSPIRA","Manufacturing (CMC)","Approval"
"09/03/2014","DEXTROSE 50% IN PLASTIC CONTAINERNDA   #019445","SUPPL-17","DEXTROSE","HOSPIRA","Manufacturing (CMC)","Approval"
"09/03/2014","ARTHROTECNDA   #020607","SUPPL-28","DICLOFENAC SODIUM; MISOPROSTOL","GD SEARLE LLC","Labeling","Approval"
"09/03/2014","DIGOXINANDA  #040282","SUPPL-13","DIGOXIN","MYLAN PHARMS INC","Manufacturing (CMC)","Approval"
"09/03/2014","LOVASTATINANDA  #075451","SUPPL-14","LOVASTATIN","MYLAN","Labeling","Approval"
"09/03/2014","OMEPRAZOLEANDA  #075876","SUPPL-32","OMEPRAZOLE","MYLAN","Manufacturing (CMC)","Approval"
"09/03/2014","MELOXICAMANDA  #077921","SUPPL-9","MELOXICAM","ZYDUS PHARMS USA","Labeling","Approval"
