"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"12/01/2015","RITALIN-SRNDA   #018029","SUPPL-52","METHYLPHENIDATE HYDROCHLORIDE","NOVARTIS","Manufacturing (CMC)","Approval"
"12/01/2015","NOVOLIN RBLA   #019938","SUPPL-73","INSULIN RECOMBINANT HUMAN","NOVO NORDISK INC","","Approval"
"12/01/2015","ORTHO-CEPTNDA   #020301","SUPPL-36","DESOGESTREL; ETHINYL ESTRADIOL","JANSSEN PHARMS","Labeling","Approval"
"12/01/2015","THALOMIDNDA   #020785","SUPPL-59","THALIDOMIDE","CELGENE","REMS","Approval"
"12/01/2015","REVLIMIDNDA   #021880","SUPPL-46","LENALIDOMIDE","CELGENE","REMS","Approval"
"12/01/2015","ARGATROBAN IN SODIUM CHLORIDENDA   #022485","SUPPL-5","ARGATROBAN","SANDOZ","Manufacturing (CMC)","Approval"
"12/01/2015","VALPROIC ACIDANDA  #074060","SUPPL-4","VALPROIC ACID","HIGH TECH PHARMA","Labeling","Approval"
"12/01/2015","VALPROIC ACIDANDA  #074060","SUPPL-6","VALPROIC ACID","HIGH TECH PHARMA","Manufacturing (CMC)","Approval"
"12/01/2015","VALPROIC ACIDANDA  #074060","SUPPL-7","VALPROIC ACID","HIGH TECH PHARMA","Labeling","Approval"
"12/01/2015","VALPROIC ACIDANDA  #074060","SUPPL-9","VALPROIC ACID","HIGH TECH PHARMA","Labeling","Approval"
"12/01/2015","VALPROIC ACIDANDA  #074060","SUPPL-10","VALPROIC ACID","HIGH TECH PHARMA","Labeling","Approval"
"12/01/2015","VALPROIC ACIDANDA  #074060","SUPPL-12","VALPROIC ACID","HIGH TECH PHARMA","Labeling","Approval"
"12/01/2015","VALPROIC ACIDANDA  #074060","SUPPL-13","VALPROIC ACID","HIGH TECH PHARMA","Labeling","Approval"
"12/01/2015","VALPROIC ACIDANDA  #074060","SUPPL-14","VALPROIC ACID","HIGH TECH PHARMA","Labeling","Approval"
"12/01/2015","CIPROFLOXACINANDA  #076126","SUPPL-11","CIPROFLOXACIN","CARLSBAD","Labeling","Approval"
"12/01/2015","CIPROFLOXACINANDA  #076126","SUPPL-12","CIPROFLOXACIN","CARLSBAD","Labeling","Approval"
"12/01/2015","CIPROFLOXACIN HYDROCHLORIDEANDA  #076126","SUPPL-11","CIPROFLOXACIN HYDROCHLORIDE","CARLSBAD","Labeling","Approval"
"12/01/2015","CIPROFLOXACIN HYDROCHLORIDEANDA  #076126","SUPPL-12","CIPROFLOXACIN HYDROCHLORIDE","CARLSBAD","Labeling","Approval"
"12/01/2015","MODAFINILANDA  #076594","SUPPL-4","MODAFINIL","MYLAN PHARMS INC","Labeling","Approval"
"12/01/2015","CITALOPRAM HYDROBROMIDEANDA  #077042","SUPPL-24","CITALOPRAM HYDROBROMIDE","MYLAN","Labeling","Approval"
"12/01/2015","PRAVASTATIN SODIUMANDA  #077491","SUPPL-3","PRAVASTATIN SODIUM","APNAR PHARMA LP","Labeling","Approval"
"12/01/2015","PRAVASTATIN SODIUMANDA  #077491","SUPPL-4","PRAVASTATIN SODIUM","APNAR PHARMA LP","Labeling","Approval"
"12/01/2015","VALSARTAN AND HYDROCHLOROTHIAZIDEANDA  #078020","SUPPL-8","HYDROCHLOROTHIAZIDE; VALSARTAN","MYLAN PHARMS INC","Labeling","Approval"
"12/01/2015","PRAVASTATIN SODIUMANDA  #079187","SUPPL-2","PRAVASTATIN SODIUM","MYLAN PHARMS INC","Labeling","Approval"
"12/01/2015","ACETAMINOPHEN AND CODEINE PHOSPHATEANDA  #087508","SUPPL-35","ACETAMINOPHEN; CODEINE PHOSPHATE","PHARM ASSOC","Labeling","Approval"
"12/01/2015","LEVETIRACETAMANDA  #090601","SUPPL-2","LEVETIRACETAM","HI-TECH PHARMACAL","Labeling","Approval"
"12/01/2015","LEVETIRACETAMANDA  #090601","SUPPL-4","LEVETIRACETAM","HI-TECH PHARMACAL","Manufacturing (CMC)","Approval"
"12/01/2015","PIOGLITAZONE HYDROCHLORIDE AND METFORMIN HYDROCHLORIDEANDA  #091155","SUPPL-2","METFORMIN HYDROCHLORIDE; PIOGLITAZONE HYDROCHLORIDE","TEVA PHARMS USA","Labeling","Approval"
"12/01/2015","PIOGLITAZONE HYDROCHLORIDE AND METFORMIN HYDROCHLORIDEANDA  #091155","SUPPL-4","METFORMIN HYDROCHLORIDE; PIOGLITAZONE HYDROCHLORIDE","TEVA PHARMS USA","Labeling","Approval"
"12/01/2015","AVASTINBLA   #125085","SUPPL-312","BEVACIZUMAB","GENENTECH","","Approval"
"12/01/2015","GLUCAGONNDA   #201849","SUPPL-2","GLUCAGON HYDROCHLORIDE","FRESENIUS KABI USA","Labeling","Approval"
"12/01/2015","VALSARTAN AND HYDROCHLOROTHIAZIDEANDA  #203026","SUPPL-2","HYDROCHLOROTHIAZIDE; VALSARTAN","APOTEX INC","Labeling","Approval"
"12/01/2015","VALSARTAN AND HYDROCHLOROTHIAZIDEANDA  #203026","SUPPL-3","HYDROCHLOROTHIAZIDE; VALSARTAN","APOTEX INC","Labeling","Approval"
"12/01/2015","VALSARTAN AND HYDROCHLOROTHIAZIDEANDA  #203026","SUPPL-4","HYDROCHLOROTHIAZIDE; VALSARTAN","APOTEX INC","Labeling","Approval"
"12/01/2015","VALSARTAN AND HYDROCHLOROTHIAZIDEANDA  #203026","SUPPL-5","HYDROCHLOROTHIAZIDE; VALSARTAN","APOTEX INC","Labeling","Approval"
"12/01/2015","ICLUSIGNDA   #203469","SUPPL-19","PONATINIB HYDROCHLORIDE","ARIAD","Manufacturing (CMC)","Approval"
"12/01/2015","DONEPEZIL HYDROCHLORIDEANDA  #203907","SUPPL-5","DONEPEZIL HYDROCHLORIDE","SCIEGEN PHARMS INC","Labeling","Approval"
"12/01/2015","POMALYSTNDA   #204026","SUPPL-11","POMALIDOMIDE","CELGENE","REMS","Approval"
"12/01/2015","DEXAMETHASONE SODIUM PHOSPHATEANDA  #206781","ORIG-1","DEXAMETHASONE SODIUM PHOSPHATE","AUROBINDO PHARMA LTD","","Approval"
"12/02/2015","METHOTREXATE SODIUMNDA   #008085","SUPPL-65","METHOTREXATE SODIUM","DAVA PHARMS INC","Manufacturing (CMC)","Approval"
"12/02/2015","HEPARIN SODIUMNDA   #017037","SUPPL-174","HEPARIN SODIUM","HIKMA","Manufacturing (CMC)","Approval"
"12/02/2015","NUTRILIPID 10%NDA   #019531","SUPPL-3","SOYBEAN OIL","B BRAUN","Manufacturing (CMC)","Approval"
"12/02/2015","NUTRILIPID 20%NDA   #019531","SUPPL-3","SOYBEAN OIL","B BRAUN","Manufacturing (CMC)","Approval"
"12/02/2015","IMODIUM MULTI-SYMPTOM RELIEFNDA   #021140","SUPPL-24","LOPERAMIDE HYDROCHLORIDE; SIMETHICONE","J AND J CONSUMER INC","Manufacturing (CMC)","Approval"
"12/02/2015","STARLIXNDA   #021204","SUPPL-18","NATEGLINIDE","NOVARTIS","Manufacturing (CMC)","Approval"
"12/02/2015","INFUVITE PEDIATRICNDA   #021265","SUPPL-31","ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE; RIBOFLAVIN; THIAMINE; TOCOPHEROL ACETATE; VITAMIN A; VITAMIN K","SANDOZ CANADA INC","Manufacturing (CMC)","Approval"
"12/02/2015","INFUVITE PEDIATRIC (PHARMACY BULK PACKAGE)NDA   #021265","SUPPL-31","ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE; RIBOFLAVIN; THIAMINE; TOCOPHEROL HYDROCHLORIDE; VITAMIN A; VITAMIN K","SANDOZ CANADA INC","Manufacturing (CMC)","Approval"
"12/02/2015","FUZEONNDA   #021481","SUPPL-30","ENFUVIRTIDE","ROCHE","Labeling","Approval"
"12/02/2015","ERAXISNDA   #021632","SUPPL-21","ANIDULAFUNGIN","VICURON","Manufacturing (CMC)","Approval"
"12/02/2015","KALETRANDA   #021906","SUPPL-45","LOPINAVIR; RITONAVIR","ABBVIE","Manufacturing (CMC)","Approval"
"12/02/2015","KARBINAL ERNDA   #022556","SUPPL-2","CARBINOXAMINE MALEATE","AYTU","Manufacturing (CMC)","Approval"
"12/02/2015","VIREADNDA   #022577","SUPPL-8","TENOFOVIR DISOPROXIL FUMARATE","GILEAD SCIENCES INC","Manufacturing (CMC)","Approval"
"12/02/2015","RIFADINNDA   #050627","SUPPL-16","RIFAMPIN","SANOFI AVENTIS US","Manufacturing (CMC)","Approval"
"12/02/2015","DESMOPRESSIN ACETATEANDA  #076470","SUPPL-21","DESMOPRESSIN ACETATE","ACTAVIS LABS FL INC","Labeling","Approval"
"12/02/2015","GEMCITABINE HYDROCHLORIDEANDA  #078759","SUPPL-1","GEMCITABINE HYDROCHLORIDE","CIPLA","Manufacturing (CMC)","Approval"
"12/02/2015","DULOXETINE HYDROCHLORIDEANDA  #090694","SUPPL-3","DULOXETINE HYDROCHLORIDE","LUPIN LTD","Labeling","Approval"
"12/02/2015","DULOXETINE HYDROCHLORIDEANDA  #090694","SUPPL-4","DULOXETINE HYDROCHLORIDE","LUPIN LTD","Labeling","Approval"
"12/02/2015","DULOXETINE HYDROCHLORIDEANDA  #090694","SUPPL-5","DULOXETINE HYDROCHLORIDE","LUPIN LTD","Labeling","Approval"
"12/02/2015","DULOXETINE HYDROCHLORIDEANDA  #090694","SUPPL-6","DULOXETINE HYDROCHLORIDE","LUPIN LTD","Labeling","Approval"
"12/02/2015","DULOXETINE HYDROCHLORIDEANDA  #090694","SUPPL-7","DULOXETINE HYDROCHLORIDE","LUPIN LTD","Labeling","Approval"
"12/02/2015","RAMIPRILANDA  #091069","ORIG-1","RAMIPRIL","APOTEX","","Approval"
