"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"11/01/2013","UVADEXNDA   #020969","SUPPL-6","METHOXSALEN","MALLINCKRODT HOSP","Labeling","Approval"
"11/01/2013","EVOXACNDA   #020989","SUPPL-12","CEVIMELINE HYDROCHLORIDE","DAIICHI SANKYO INC","Manufacturing (CMC)","Approval"
"11/01/2013","EXJADENDA   #021882","SUPPL-18","DEFERASIROX","NOVARTIS","Manufacturing (CMC)","Approval"
"11/01/2013","EMBEDANDA   #022321","SUPPL-13","MORPHINE SULFATE; NALTREXONE HYDROCHLORIDE","ALPHARMA PHARMS","Manufacturing (CMC)","Approval"
"11/01/2013","LATISSENDA   #022369","SUPPL-9","BIMATOPROST","ALLERGAN","Manufacturing (CMC)","Approval"
"11/01/2013","BELVIQNDA   #022529","SUPPL-2","LORCASERIN HYDROCHLORIDE","EISAI INC","Manufacturing (CMC)","Approval"
"11/01/2013","CITALOPRAM HYDROBROMIDEANDA  #077629","SUPPL-7","CITALOPRAM HYDROBROMIDE","LANNETT CO INC","Labeling","Approval"
"11/01/2013","CITALOPRAM HYDROBROMIDEANDA  #077629","SUPPL-8","CITALOPRAM HYDROBROMIDE","LANNETT CO INC","Labeling","Approval"
"11/01/2013","GAZYVABLA   #125486","ORIG-1","OBINUTUZUMAB","GENENTECH","","Approval"
"11/04/2013","FURADANTINNDA   #009175","SUPPL-36","NITROFURANTOIN","CASPER PHARMA LLC","Labeling","Approval"
"11/04/2013","MINIPRESSNDA   #017442","SUPPL-41","PRAZOSIN HYDROCHLORIDE","PFIZER","Labeling","Approval"
"11/04/2013","ALTACENDA   #019901","SUPPL-62","RAMIPRIL","KING PHARMS LLC","Labeling","Approval"
"11/04/2013","REVLIMIDNDA   #021880","SUPPL-38","LENALIDOMIDE","CELGENE","Labeling","Approval"
"11/04/2013","TEKTURNANDA   #021985","SUPPL-25","ALISKIREN HEMIFUMARATE","NODEN PHARMA","Labeling","Approval"
"11/04/2013","TEKTURNA HCTNDA   #022107","SUPPL-23","ALISKIREN HEMIFUMARATE; HYDROCHLOROTHIAZIDE","NODEN PHARMA","Labeling","Approval"
"11/04/2013","TEKAMLONDA   #022545","SUPPL-14","ALISKIREN HEMIFUMARATE; AMLODIPINE BESYLATE","NOVARTIS","Labeling","Approval"
"11/04/2013","AMTURNIDENDA   #200045","SUPPL-14","ALISKIREN HEMIFUMARATE; AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE","NOVARTIS","Labeling","Approval"
"11/04/2013","DOCETAXELNDA   #203551","SUPPL-1","DOCETAXEL","ACTAVIS LLC","Labeling","Approval"
"11/05/2013","PAREMYDNDA   #019261","SUPPL-13","HYDROXYAMPHETAMINE HYDROBROMIDE; TROPICAMIDE","AKORN","Manufacturing (CMC)","Approval"
"11/05/2013","ZESTRILNDA   #019777","SUPPL-63","LISINOPRIL","ALVOGEN","Labeling","Approval"
"11/05/2013","ZESTORETICNDA   #019888","SUPPL-55","HYDROCHLOROTHIAZIDE; LISINOPRIL","ALVOGEN","Labeling","Approval"
"11/05/2013","FINASTERIDEANDA  #076905","ORIG-1","FINASTERIDE","TEVA","","Approval"
"11/05/2013","FINASTERIDEANDA  #078161","ORIG-1","FINASTERIDE","MYLAN","","Approval"
"11/05/2013","FINASTERIDEANDA  #078371","ORIG-1","FINASTERIDE","ACTAVIS TOTOWA","","Approval"
